class, DUI
logs[] = 97,36
logs[] = 12,6
logs[] = 3,0
logs[] = 8,0
logs[] = 6,0
logs[] = 129,53
logs[] = 72,40
logs[] = 13,2
logs[] = 215,0
logs[] = 31,6
logs[] = 13,0
logs[] = 1,0
logs[] = 51,42
logs[] = 19,0
logs[] = 2,2
logs[] = 261,77
logs[] = 15,9
logs[] = 46,31
logs[] = 1,0
logs[] = 102,20
logs[] = 68,24
logs[] = 737,215
logs[] = 6,1
logs[] = 4,0
logs[] = 200,35
logs[] = 26,0
logs[] = 87,28
logs[] = 10,0
logs[] = 3,0
logs[] = 11,2
logs[] = 72,10
logs[] = 18,1
logs[] = 3,2
logs[] = 131021,68793
logs[] = 9,3
logs[] = 18,18
logs[] = 332,9
logs[] = 23,16
logs[] = 17,1
logs[] = 42,14
logs[] = 2,1
logs[] = 2,0
logs[] = 351,71
logs[] = 10,6
logs[] = 90,17
logs[] = 1,1
logs[] = 46,8
logs[] = 8,0
logs[] = 9,6
logs[] = 43,6
logs[] = 42,18
logs[] = 16,12
logs[] = 47,16
logs[] = 959,73
logs[] = 268,75
logs[] = 4102,1126
logs[] = 2026,669
logs[] = 8,4
logs[] = 39,4
logs[] = 4,1
logs[] = 2,0
logs[] = 98,18
logs[] = 5,0
logs[] = 11,2
logs[] = 14,3
logs[] = 48,0
logs[] = 12703,5402
logs[] = 54,24
logs[] = 3,0
logs[] = 39,15
logs[] = 146,49
logs[] = 741,81
logs[] = 10,2
logs[] = 110,67
logs[] = 12,5
logs[] = 2,1
logs[] = 43,2
logs[] = 8,0
logs[] = 11,1
logs[] = 473,99
logs[] = 257,33
logs[] = 1,1
logs[] = 24,1
logs[] = 18,0
logs[] = 26,5
logs[] = 8,2
logs[] = 2,0
logs[] = 59,55
logs[] = 593,140
logs[] = 61,0
logs[] = 42,32
logs[] = 18414,8120
logs[] = 8,1
logs[] = 10,3
logs[] = 140,88
logs[] = 34,4
logs[] = 126,7
logs[] = 10,2
logs[] = 1146,280
logs[] = 22,10
logs[] = 41,3
logs[] = 48,7
logs[] = 19,1
logs[] = 13,8
logs[] = 172,66
logs[] = 98,36
logs[] = 22,0
logs[] = 7,1
logs[] = 13,1
logs[] = 214,40
logs[] = 12,5
logs[] = 9,2
logs[] = 48,1
logs[] = 531,123
logs[] = 16,0
logs[] = 55,16
logs[] = 6109,1112
logs[] = 48,11
logs[] = 16,7
logs[] = 648,297
logs[] = 9,7
logs[] = 57,9
logs[] = 65,14
logs[] = 2602,822
logs[] = 55065,17195
logs[] = 6,1
logs[] = 5,0
logs[] = 13,7
logs[] = 2184,844
logs[] = 2486,188
logs[] = 13,2
logs[] = 114,63
logs[] = 20,8
logs[] = 11,1
logs[] = 50,8
logs[] = 10,2
logs[] = 3,0
logs[] = 428,64
logs[] = 2,0
logs[] = 32,3
logs[] = 18,6
logs[] = 6,4
logs[] = 24,6
logs[] = 3,0
logs[] = 205,115
logs[] = 4,0
logs[] = 11246,3471
logs[] = 24,5
logs[] = 17,2
logs[] = 6,0
logs[] = 558,195
logs[] = 2626,604
logs[] = 4,1
logs[] = 117,28
logs[] = 16,7
logs[] = 9,2
logs[] = 7,2
logs[] = 20,19
logs[] = 56167,23956
logs[] = 26,3
logs[] = 180,45
logs[] = 1,0
logs[] = 28,9
logs[] = 14,2
logs[] = 1019,298
logs[] = 200,56
logs[] = 22,5
logs[] = 3,3
logs[] = 18,12
logs[] = 11,0
logs[] = 10,3
logs[] = 2,2
logs[] = 9,6
logs[] = 9,0
logs[] = 60,0
logs[] = 68,2
logs[] = 327,148
logs[] = 12,0
logs[] = 6,1
logs[] = 4,2
logs[] = 40,31
logs[] = 3,0
logs[] = 65,3
logs[] = 87,38
logs[] = 2,0
logs[] = 20,12
logs[] = 97,47
logs[] = 11,0
logs[] = 85,26
logs[] = 5,0
logs[] = 2,1
logs[] = 142,35
logs[] = 95,65
logs[] = 188,15
logs[] = 8,2
logs[] = 11,4
logs[] = 14,0
logs[] = 36,0
logs[] = 185,4
logs[] = 14,3
logs[] = 307,58
logs[] = 21,5
logs[] = 35,5
logs[] = 16,3
logs[] = 198,118
logs[] = 67,1
logs[] = 270,74
logs[] = 1,1
logs[] = 6,2
logs[] = 7,3
logs[] = 8,3
logs[] = 206,51
logs[] = 32,14
logs[] = 8,1
logs[] = 7,0
logs[] = 3,1
logs[] = 654,429
logs[] = 763,195
logs[] = 15,4
logs[] = 11,2
logs[] = 2,0
logs[] = 362,63
logs[] = 194,51
